,title,budget,currency_symbol,currency_amount
2126,"You, Me and Dupree",$ 54000000,$,54000000
2127,28 Weeks Later,$ 15000000,$,15000000
2128,The Fast and the Furious: Tokyo Drift,$ 85000000,$,85000000
2129,Freedom Writers,$ 21000000,$,21000000
2130,El orfanato,EUR 3400000,EUR,3740000.0000000005
2131,Piranha 3D,$ 24000000,$,24000000
2132,"OSS 117: Le Caire, nid d'espions",EUR 14000000,EUR,15400000.000000002
2133,National Treasure: Book of Secrets,$ 130000000,$,130000000
2134,December Boys,$ 4000000,$,4000000
2135,Hitman,$ 24000000,$,24000000
2136,Igor,$ 25000000,$,25000000
2137,Michael Clayton,$ 25000000,$,25000000
2138,Notes on a Scandal,$ 15000000,$,15000000
2139,Push,$ 38000000,$,38000000
2140,Shoot 'Em Up,$ 39000000,$,39000000
2141,My Super Ex-Girlfriend,$ 30000000,$,30000000
2142,Date Movie,$ 20000000,$,20000000
2143,Ten Canoes,AUD 2200000,AUD,1430000.0
2144,Margaret,$ 14000000,$,14000000
2145,The Omen,$ 25000000,$,25000000
2146,Max Payne,$ 35000000,$,35000000
2147,The Other Boleyn Girl,$ 35000000,$,35000000
2148,Juno,$ 7500000,$,7500000
2149,Gwoemul,KRW 12215500000,KRW,10016710.0
2150,Tsotsi,$ 3000000,$,3000000
2151,The Dark Knight,$ 185000000,$,185000000
2152,There Will Be Blood,$ 25000000,$,25000000
2153,Things We Lost in the Fire,$ 16000000,$,16000000
2154,World Trade Center,$ 65000000,$,65000000
2155,Ex Machina,$ 15000000,$,15000000
2156,Tower Heist,$ 75000000,$,75000000
2157,9,$ 30000000,$,30000000
2158,Apocalypto,$ 40000000,$,40000000
2159,Charlie Wilson's War,$ 75000000,$,75000000
2160,Penelope,$ 15000000,$,15000000
2161,The Smurfs,$ 110000000,$,110000000
2162,Notorious,$ 20000000,$,20000000
2163,The Mechanic,$ 40000000,$,40000000
2164,Prince of Persia: The Sands of Time,$ 200000000,$,200000000
2165,Waitress,$ 1500000,$,1500000
2166,United 93,$ 15000000,$,15000000
2167,"Hail, Caesar!",$ 22000000,$,22000000
2168,Smokin' Aces,$ 17000000,$,17000000
2169,The Abandoned,EUR 3000000,EUR,3300000.0000000005
2170,The Covenant,$ 20000000,$,20000000
2171,Mister Lonely,$ 9500000,$,9500000
2172,The Brave One,$ 70000000,$,70000000
2173,Norbit,$ 60000000,$,60000000
2174,Premonition,$ 20000000,$,20000000
2175,Unstoppable,$ 100000000,$,100000000
2176,Wristcutters: A Love Story,$ 1000000,$,1000000
2177,Extremely Loud & Incredibly Close,$ 40000000,$,40000000
2178,Night at the Museum,$ 110000000,$,110000000
2179,No Country for Old Men,$ 25000000,$,25000000
2180,21,$ 35000000,$,35000000
2181,Cthulhu,$ 750000,$,750000
2182,The Tree of Life,$ 32000000,$,32000000
2183,Knocked Up,$ 30000000,$,30000000
2184,Ant-Man,$ 130000000,$,130000000
2185,Rocky Balboa,$ 24000000,$,24000000
2186,Nancy Drew,$ 20000000,$,20000000
2187,Crank,$ 12000000,$,12000000
2188,Madagascar: Escape 2 Africa,$ 150000000,$,150000000
2189,One Missed Call,$ 20000000,$,20000000
2190,Season of the Witch,$ 40000000,$,40000000
2191,This Is England,GBP 1500000,GBP,1890000.0
2192,Dan in Real Life,$ 25000000,$,25000000
2193,I Am Legend,$ 150000000,$,150000000
2194,Los cronocrímenes,$ 2600000,$,2600000
2195,Hall Pass,$ 36000000,$,36000000
2196,No Reservations,$ 28000000,$,28000000
2197,The Croods,$ 135000000,$,135000000
2198,Harold & Kumar Escape from Guantanamo Bay,$ 12000000,$,12000000
2199,Miss Potter,$ 30000000,$,30000000
2200,The Prestige,$ 40000000,$,40000000
2201,Pride and Glory,$ 30000000,$,30000000
2202,Shutter,$ 8000000,$,8000000
2203,Space Chimps,$ 37000000,$,37000000
2204,The Strangers,$ 9000000,$,9000000
2205,Doomsday,$ 30000000,$,30000000
2206,The Seeker: The Dark Is Rising,$ 45000000,$,45000000
2207,The Secret of Kells,$ 8000000,$,8000000
2208,Mr. Nobody,$ 47000000,$,47000000
2209,Wind Chill,$ 6000000,$,6000000
2210,Fly Me to the Moon,$ 25000000,$,25000000
2211,Beerfest,$ 17500000,$,17500000
2212,4: Rise of the Silver Surfer,$ 130000000,$,130000000
2213,Fred Claus,$ 100000000,$,100000000
2214,Stardust,$ 70000000,$,70000000
2215,Disturbia,$ 20000000,$,20000000
2216,Fanboys,$ 3900000,$,3900000
2217,Jumper,$ 85000000,$,85000000
2218,My Name Is Bruce,$ 1500000,$,1500000
2219,The Nanny Diaries,$ 20000000,$,20000000
2220,Saw III,$ 10000000,$,10000000
2221,Silence,$ 46000000,$,46000000
2222,Something Borrowed,$ 35000000,$,35000000
2223,Suburbicon,$ 25000000,$,25000000
2224,Tulip Fever,$ 25000000,$,25000000
2225,The Haunting in Connecticut,$ 10000000,$,10000000
2226,Furry Vengeance,$ 35000000,$,35000000
2227,The Game Plan,$ 22000000,$,22000000
2228,CHIPS,$ 25000000,$,25000000
2229,Wanted,$ 75000000,$,75000000
2230,Ramona and Beezus,$ 15000000,$,15000000
2231,"Welcome Home, Roscoe Jenkins",$ 35000000,$,35000000
2232,Ocean's Thirteen,$ 85000000,$,85000000
2233,Vicky Cristina Barcelona,$ 15500000,$,15500000
2234,Hostel: Part II,$ 10200000,$,10200000
2235,Letters from Iwo Jima,$ 19000000,$,19000000
2236,Rings,$ 25000000,$,25000000
2237,We Own the Night,$ 21000000,$,21000000
2238,Guru,INR 150000000,INR,1950000.0
2239,The Chronicles of Narnia: Prince Caspian,$ 225000000,$,225000000
2240,Avatar,$ 237000000,$,237000000
2241,War,$ 25000000,$,25000000
2242,AVPR: Aliens vs Predator - Requiem,$ 40000000,$,40000000
2243,Friday the 13th,$ 19000000,$,19000000
2244,Love & Other Drugs,$ 30000000,$,30000000
2245,Into the Wild,$ 15000000,$,15000000
2246,Music and Lyrics,$ 40000000,$,40000000
2247,Body of Lies,$ 70000000,$,70000000
2248,We Are Marshall,$ 65000000,$,65000000
2249,The Water Horse,$ 40000000,$,40000000
2250,I Now Pronounce You Chuck & Larry,$ 85000000,$,85000000
2251,License to Wed,$ 35000000,$,35000000
2252,Planet 51,$ 70000000,$,70000000
2253,Doogal,$ 20000000,$,20000000
2254,A Thousand Words,$ 40000000,$,40000000
2255,Brothers,$ 26000000,$,26000000
2256,My Blueberry Nights,$ 10000000,$,10000000
2257,American Gangster,$ 100000000,$,100000000
2258,Eastern Promises,GBP 25000000,GBP,31500000.0
2259,Escape from Planet Earth,$ 40000000,$,40000000
2260,Meet Dave,$ 60000000,$,60000000
2261,What's Your Number?,$ 20000000,$,20000000
2262,Fool's Gold,$ 70000000,$,70000000
2263,Man of Steel,$ 225000000,$,225000000
2264,Aliens in the Attic,$ 45000000,$,45000000
2265,Drive,$ 15000000,$,15000000
2266,Everybody's Fine,$ 21000000,$,21000000
2267,Flawless,$ 20000000,$,20000000
2268,The Princess and the Frog,$ 105000000,$,105000000
2269,In Bruges,$ 15000000,$,15000000
2270,Mr. Brooks,$ 20000000,$,20000000
2271,The Signal,$ 50000,$,50000
2272,The Wolfman,$ 150000000,$,150000000
2273,Atonement,$ 30000000,$,30000000
2274,Hotel for Dogs,$ 35000000,$,35000000
2275,Who's Your Caddy?,$ 7000000,$,7000000
2276,The Boxtrolls,$ 60000000,$,60000000
2277,The Man Who Knew Infinity,$ 10000000,$,10000000
2278,The Incredible Burt Wonderstone,$ 30000000,$,30000000
2279,Dallas Buyers Club,$ 5000000,$,5000000
2280,Mirrors,$ 35000000,$,35000000
2281,Jack Reacher,$ 60000000,$,60000000
2282,R.I.P.D.,$ 130000000,$,130000000
2283,Georgia Rule,$ 20000000,$,20000000
2284,Case 39,$ 26000000,$,26000000
2285,Death at a Funeral,$ 9000000,$,9000000
2286,Mamma Mia!,$ 52000000,$,52000000
2287,Scary Movie 5,$ 20000000,$,20000000
2288,Cassandra's Dream,GBP 13000000,GBP,16380000.0
2289,Star Trek,$ 150000000,$,150000000
2290,Be Kind Rewind,$ 20000000,$,20000000
2291,Epic Movie,$ 20000000,$,20000000
2292,Forgetting Sarah Marshall,$ 30000000,$,30000000
2293,The Incredible Hulk,$ 150000000,$,150000000
2294,Deception,$ 25000000,$,25000000
2295,Transsiberian,$ 15000000,$,15000000
2296,Clash of the Titans,$ 125000000,$,125000000
2297,Thor,$ 150000000,$,150000000
2298,Warcraft,$ 160000000,$,160000000
2299,Bratz,$ 20000000,$,20000000
2300,It's Kind of a Funny Story,$ 8000000,$,8000000
2301,La terza madre,$ 3500000,$,3500000
2302,Facing the Giants,$ 100000,$,100000
2303,Lars and the Real Girl,$ 12000000,$,12000000
2304,Blood: The Last Vampire,$ 30000000,$,30000000
2305,Angels & Demons,$ 150000000,$,150000000
2306,Funny Games,$ 15000000,$,15000000
2307,"Se, jie",$ 15000000,$,15000000
2308,"New York, I Love You",$ 14700000,$,14700000
2309,Persepolis,$ 7300000,$,7300000
2310,Tooth Fairy,$ 48000000,$,48000000
2311,The Danish Girl,$ 15000000,$,15000000
2312,Jack and Jill,$ 79000000,$,79000000
2313,Take Me Home Tonight,$ 23000000,$,23000000
2314,Speed Racer,$ 120000000,$,120000000
2315,The Love Guru,$ 62000000,$,62000000
2316,Die Fälscher,EUR 4200000,EUR,4620000.0
2317,Bangkok Dangerous,$ 45000000,$,45000000
2318,Percy Jackson & the Olympians: The Lightning Thief,$ 95000000,$,95000000
2319,Seven Pounds,$ 55000000,$,55000000
2320,The Stepfather,$ 20000000,$,20000000
2321,Frontière(s),$ 3000000,$,3000000
2322,She's Out of My League,$ 20000000,$,20000000
2323,Sydney White,$ 16500000,$,16500000
2324,The Book Thief,$ 19000000,$,19000000
2325,Conan the Barbarian,$ 90000000,$,90000000
2326,Interstellar,$ 165000000,$,165000000
2327,World War Z,$ 190000000,$,190000000
2328,Flipped,$ 14000000,$,14000000
2329,Valentine's Day,$ 52000000,$,52000000
2330,Drillbit Taylor,$ 40000000,$,40000000
2331,Ghosts of Girlfriends Past,$ 37500000,$,37500000
2332,Marley & Me,$ 60000000,$,60000000
2333,Priest,$ 60000000,$,60000000
2334,Shooter,$ 61000000,$,61000000
2335,Changeling,$ 55000000,$,55000000
2336,The Bucket List,$ 45000000,$,45000000
2337,Dracula Untold,$ 70000000,$,70000000
2338,Superbad,$ 20000000,$,20000000
2339,Quantum of Solace,$ 200000000,$,200000000
2340,Godzilla,$ 160000000,$,160000000
2341,The Spirit,$ 60000000,$,60000000
2342,Ta Ra Rum Pum,$ 6000000,$,6000000
2343,Underworld: Rise of the Lycans,$ 35000000,$,35000000
2344,Hotel Transylvania,$ 85000000,$,85000000
2345,Pet Sematary,$ 21000000,$,21000000
2346,House,$ 2500000,$,2500000
2347,The Darjeeling Limited,$ 16000000,$,16000000
2348,The Pink Panther 2,$ 70000000,$,70000000
2349,After.Life,$ 4500000,$,4500000
2350,Step Brothers,$ 65000000,$,65000000
2351,Semi-Pro,$ 55000000,$,55000000
2352,The Town,$ 37000000,$,37000000
2353,Walk Hard: The Dewey Cox Story,$ 35000000,$,35000000
2354,The Kids Are All Right,$ 4000000,$,4000000
2355,Cloudy with a Chance of Meatballs,$ 100000000,$,100000000
2356,The Collector,$ 6000000,$,6000000
2357,The Last House on the Left,$ 15000000,$,15000000
2358,The Avengers,$ 220000000,$,220000000
2359,Epic,$ 100000000,$,100000000
2360,Diary of the Dead,$ 2000000,$,2000000
2361,The House Bunny,$ 25000000,$,25000000
2362,The Mummy: Tomb of the Dragon Emperor,$ 145000000,$,145000000
2363,Super Troopers 2,$ 13500000,$,13500000
2364,Blindness,$ 25000000,$,25000000
2365,Tropa de Elite,$ 4000000,$,4000000
2366,Valhalla Rising,GBP 4000000,GBP,5040000.0
2367,Sunshine Cleaning,$ 8000000,$,8000000
2368,The Duchess,GBP 13500000,GBP,17010000.0
2369,Mr. Peabody & Sherman,$ 145000000,$,145000000
2370,The Forbidden Kingdom,$ 55000000,$,55000000
2371,My Life in Ruins,$ 17000000,$,17000000
2372,Made of Honor,$ 40000000,$,40000000
2373,Frost/Nixon,$ 25000000,$,25000000
2374,Antichrist,$ 11000000,$,11000000
2375,Baby Mama,$ 30000000,$,30000000
2376,Red State,$ 4000000,$,4000000
2377,Nine,$ 80000000,$,80000000
2378,Gake no ue no Ponyo,$ 34000000,$,34000000
2379,The Blind Side,$ 29000000,$,29000000
2380,Eat Pray Love,$ 60000000,$,60000000
2381,Sanctum,$ 30000000,$,30000000
2382,All About Steve,$ 15000000,$,15000000
2383,Snitch,$ 15000000,$,15000000
2384,The Mist,$ 18000000,$,18000000
2385,Legends of Oz: Dorothy's Return,$ 70000000,$,70000000
2386,The Wedding Ringer,$ 23000000,$,23000000
2387,Burn After Reading,$ 37000000,$,37000000
2388,The Hurt Locker,$ 15000000,$,15000000
2389,The Switch,$ 19000000,$,19000000
2390,Brüno,$ 42000000,$,42000000
2391,Saw IV,$ 10000000,$,10000000
2392,Lions for Lambs,$ 35000000,$,35000000
2393,Letters to Juliet,$ 30000000,$,30000000
2394,How to Train Your Dragon,$ 165000000,$,165000000
2395,Monsters vs. Aliens,$ 175000000,$,175000000
2396,Shrek Forever After,$ 165000000,$,165000000
2397,I Know Who Killed Me,$ 12000000,$,12000000
2398,The Road,$ 25000000,$,25000000
2399,Bride Wars,$ 30000000,$,30000000
2400,The Hobbit: An Unexpected Journey,$ 180000000,$,180000000
2401,Love & Mercy,$ 10000000,$,10000000
2402,The Thing,$ 38000000,$,38000000
2403,Sukiyaki Western Django,$ 3800000,$,3800000
2404,Once,$ 150000,$,150000
2405,Pineapple Express,$ 27000000,$,27000000
2406,WALL·E,$ 180000000,$,180000000
2407,The Boy in the Striped Pyjamas,$ 12500000,$,12500000
2408,Doubt,$ 20000000,$,20000000
2409,The Legend of Tarzan,$ 180000000,$,180000000
2410,Flammen & Citronen,DKK 45000000,DKK,6750000.0
2411,Harry Potter and the Deathly Hallows: Part 1,GBP 150000000,GBP,189000000.0
2412,Precious,$ 10000000,$,10000000
2413,Rabbit Hole,$ 5000000,$,5000000
2414,Taken,$ 25000000,$,25000000
2415,The Last Airbender,$ 150000000,$,150000000
2416,Silent Hill: Revelation,$ 20000000,$,20000000
2417,Tropic Thunder,$ 92000000,$,92000000
2418,Salt,$ 110000000,$,110000000
2419,Source Code,$ 32000000,$,32000000
2420,Black Swan,$ 13000000,$,13000000
2421,Lakeview Terrace,$ 20000000,$,20000000
2422,The Amazing Spider-Man,$ 230000000,$,230000000
2423,The Happening,$ 48000000,$,48000000
2424,Mad Money,$ 22000000,$,22000000
2425,Alvin and the Chipmunks,$ 60000000,$,60000000
2426,The Killer Inside Me,$ 13000000,$,13000000
2427,Robin Hood,$ 200000000,$,200000000
2428,Revolutionary Road,$ 35000000,$,35000000
2429,You Don't Mess with the Zohan,$ 90000000,$,90000000
2430,Bedtime Stories,$ 80000000,$,80000000
2431,The Objective,$ 4000000,$,4000000
2432,High School Musical 3: Senior Year,$ 11000000,$,11000000
2433,The Young Victoria,$ 35000000,$,35000000
2434,The International,$ 50000000,$,50000000
2435,Repo! The Genetic Opera,$ 8500000,$,8500000
2436,The Ruins,$ 8000000,$,8000000
2437,The Sorcerer's Apprentice,$ 150000000,$,150000000
2438,Tetro,$ 5000000,$,5000000
2439,The Fighter,$ 25000000,$,25000000
2440,Pathology,$ 8000000,$,8000000
2441,The Conspirator,$ 25000000,$,25000000
2442,Hugo,$ 150000000,$,150000000
2443,City of Ember,$ 55000000,$,55000000
2444,The Day the Earth Stood Still,$ 80000000,$,80000000
2445,Little Fockers,$ 100000000,$,100000000
2446,Justice League,$ 300000000,$,300000000
2447,Elegy,$ 13000000,$,13000000
2448,17 Again,$ 20000000,$,20000000
2449,Hitchcock,$ 15700000,$,15700000
2450,The Reader,$ 32000000,$,32000000
2451,Bandslam,$ 20000000,$,20000000
2452,Sucker Punch,$ 82000000,$,82000000
2453,The Chronicles of Narnia: The Voyage of the Dawn Treader,$ 155000000,$,155000000
2454,Nick and Norah's Infinite Playlist,$ 10000000,$,10000000
2455,The Adventures of Tintin,$ 135000000,$,135000000
2456,Machete,$ 10500000,$,10500000
2457,Valkyrie,$ 75000000,$,75000000
2458,Hunger,GBP 1500000,GBP,1890000.0
2459,Surrogates,$ 80000000,$,80000000
2460,Sherlock Holmes,$ 90000000,$,90000000
2461,27 Dresses,$ 30000000,$,30000000
2462,Dear John,$ 25000000,$,25000000
2463,The Green Hornet,$ 120000000,$,120000000
2464,Hanna,$ 30000000,$,30000000
2465,The Wolf of Wall Street,$ 100000000,$,100000000
2466,Sex and the City,$ 65000000,$,65000000
2467,He's Just Not That Into You,$ 40000000,$,40000000
2468,Megamind,$ 130000000,$,130000000
2469,Countdown,$ 6500000,$,6500000
2470,Zack and Miri Make a Porno,$ 24000000,$,24000000
2471,The Iron Lady,$ 13000000,$,13000000
2472,Slumdog Millionaire,$ 15000000,$,15000000
2473,Knight and Day,$ 117000000,$,117000000
2474,Fast & Furious,$ 85000000,$,85000000
2475,Milk,$ 20000000,$,20000000
2476,Alice in Wonderland,$ 200000000,$,200000000
2477,Child 44,$ 50000000,$,50000000
2478,Beverly Hills Chihuahua,$ 20000000,$,20000000
2479,The Sisterhood of Night,$ 1000000,$,1000000
2480,Fame,$ 18000000,$,18000000
2481,The Runaways,$ 10000000,$,10000000
2482,Splice,$ 30000000,$,30000000
2483,Our Brand Is Crisis,$ 28000000,$,28000000
2484,The Sisterhood of the Traveling Pants 2,$ 27000000,$,27000000
2485,A Serious Man,$ 7000000,$,7000000
2486,Selma,$ 20000000,$,20000000
2487,Centurion,$ 12000000,$,12000000
2488,Copie conforme,EUR 7000000,EUR,7700000.000000001
2489,(500) Days of Summer,$ 7500000,$,7500000
2490,Never Back Down,$ 20000000,$,20000000
2491,The Way Back,$ 30000000,$,30000000
2492,Step Up 2: The Streets,$ 17500000,$,17500000
2493,Il divo - La spettacolare vita di Giulio Andreotti,EUR 5700000,EUR,6270000.000000001
2494,Argo,$ 44500000,$,44500000
2495,Gemini Man,$ 138000000,$,138000000
2496,Wall Street: Money Never Sleeps,$ 70000000,$,70000000
2497,Secretariat,$ 35000000,$,35000000
2498,Poltergeist,$ 35000000,$,35000000
2499,RocknRolla,$ 18000000,$,18000000
2500,"I Love You, Beth Cooper",$ 18000000,$,18000000
2501,"4 luni, 3 saptamâni si 2 zile",EUR 590000,EUR,649000.0
2502,The Descendants,$ 20000000,$,20000000
2503,What Happens in Vegas,$ 35000000,$,35000000
2504,Gamer,$ 50000000,$,50000000
2505,Defiance,$ 32000000,$,32000000
2506,Righteous Kill,$ 60000000,$,60000000
2507,Suspiria,$ 20000000,$,20000000
2508,Coco avant Chanel,$ 23000000,$,23000000
2509,The Book of Eli,$ 80000000,$,80000000
2510,Legion,$ 26000000,$,26000000
2511,The Bounty Hunter,$ 40000000,$,40000000
2512,The Nutcracker in 3D,$ 90000000,$,90000000
2513,The Proposal,$ 40000000,$,40000000
2514,Cadillac Records,$ 12000000,$,12000000
2515,The Legend of Hercules,$ 70000000,$,70000000
2516,Silver Linings Playbook,$ 21000000,$,21000000
2517,I Love You Phillip Morris,$ 13000000,$,13000000
2518,G.I. Joe: The Rise of Cobra,$ 175000000,$,175000000
2519,Miracle at St. Anna,$ 45000000,$,45000000
2520,Parental Guidance,$ 25000000,$,25000000
2521,Up,$ 175000000,$,175000000
2522,Goosebumps,$ 58000000,$,58000000
2523,Repo Men,$ 32000000,$,32000000
2524,The Big Year,$ 41000000,$,41000000
2525,The Imaginarium of Doctor Parnassus,$ 30000000,$,30000000
2526,Life as We Know It,$ 38000000,$,38000000
2527,Transformers: Revenge of the Fallen,$ 200000000,$,200000000
2528,Invictus,$ 60000000,$,60000000
2529,The Invention of Lying,$ 18500000,$,18500000
2530,Eagle Eye,$ 80000000,$,80000000
2531,Cloverfield,$ 25000000,$,25000000
2532,Boyhood,$ 4000000,$,4000000
2533,A Christmas Carol,$ 200000000,$,200000000
2534,Water for Elephants,$ 38000000,$,38000000
2535,Adult World,$ 4000000,$,4000000
2536,Monte Carlo,$ 20000000,$,20000000
2537,Footloose,$ 24000000,$,24000000
2538,Yes Man,$ 70000000,$,70000000
2539,Ghost Rider: Spirit of Vengeance,$ 57000000,$,57000000
2540,Winchester,$ 3500000,$,3500000
2541,Meet the Spartans,$ 30000000,$,30000000
2542,Skyfall,$ 200000000,$,200000000
2543,Race to Witch Mountain,$ 65000000,$,65000000
2544,Dark Shadows,$ 150000000,$,150000000
2545,My Sister's Keeper,$ 30000000,$,30000000
2546,Night at the Museum: Battle of the Smithsonian,$ 150000000,$,150000000
2547,Couples Retreat,$ 70000000,$,70000000
2548,Ice Age: Dawn of the Dinosaurs,$ 90000000,$,90000000
2549,The Belko Experiment,$ 5000000,$,5000000
2550,Quarantine,$ 12000000,$,12000000
2551,Eddie the Eagle,$ 23000000,$,23000000
2552,Fired Up!,$ 20000000,$,20000000
2553,Blended,$ 40000000,$,40000000
2554,Lone Survivor,$ 40000000,$,40000000
2555,Paul,$ 40000000,$,40000000
2556,The Darkest Hour,$ 30000000,$,30000000
2557,The Bad Lieutenant: Port of Call - New Orleans,$ 25000000,$,25000000
2558,Dragonball Evolution,$ 30000000,$,30000000
2559,Twilight,$ 37000000,$,37000000
2560,Foxcatcher,$ 24000000,$,24000000
2561,Shorts,$ 40000000,$,40000000
2562,Killers,$ 75000000,$,75000000
2563,Two Lovers,$ 9800000,$,9800000
2564,Tron,$ 170000000,$,170000000
2565,Paddington,$ 55000000,$,55000000
2566,The Taking of Pelham 123,$ 100000000,$,100000000
2567,Hannah Montana: The Movie,$ 30000000,$,30000000
2568,Paul Blart: Mall Cop,$ 26000000,$,26000000
2569,The Hangover,$ 35000000,$,35000000
2570,Blue Valentine,$ 1000000,$,1000000
2571,Seventh Son,$ 95000000,$,95000000
2572,Crank: High Voltage,$ 20000000,$,20000000
2573,The Ides of March,$ 12500000,$,12500000
2574,Free State of Jones,$ 50000000,$,50000000
2575,The Wrestler,$ 6000000,$,6000000
2576,Big Eyes,$ 10000000,$,10000000
2577,Burlesque,$ 55000000,$,55000000
2578,Morning Glory,$ 40000000,$,40000000
2579,Drag Me to Hell,$ 30000000,$,30000000
2580,Fireproof,$ 500000,$,500000
2581,Transporter 3,$ 30000000,$,30000000
2582,Amelia,$ 40000000,$,40000000
2583,Shutter Island,$ 80000000,$,80000000
2584,Jennifer's Body,$ 16000000,$,16000000
2585,Män som hatar kvinnor,$ 13000000,$,13000000
2586,Saw V,$ 10800000,$,10800000
2587,Green Lantern,$ 200000000,$,200000000
2588,Takers,$ 32000000,$,32000000
2589,Duplicity,$ 60000000,$,60000000
2590,Julie & Julia,$ 40000000,$,40000000
2591,Sex Drive,$ 19000000,$,19000000
2592,District 9,$ 30000000,$,30000000
2593,Death Wish,$ 30000000,$,30000000
2594,The Ghost Writer,$ 45000000,$,45000000
2595,The Unborn,$ 16000000,$,16000000
2596,Låt den rätte komma in,$ 4000000,$,4000000
2597,Post Grad,$ 15000000,$,15000000
2598,Frankenweenie,$ 39000000,$,39000000
2599,The Ugly Truth,$ 38000000,$,38000000
2600,The Final Destination,$ 40000000,$,40000000
2601,Das weiße Band - Eine deutsche Kindergeschichte,$ 18000000,$,18000000
2602,"Lovely, Still",$ 5000000,$,5000000
2603,Beastly,$ 17000000,$,17000000
2604,Public Enemies,$ 100000000,$,100000000
2605,"I Love You, Man",$ 40000000,$,40000000
2606,The Karate Kid,$ 40000000,$,40000000
2607,Zombieland,$ 23600000,$,23600000
2608,Gentlemen Broncos,$ 10000000,$,10000000
2609,The Rite,$ 37000000,$,37000000
2610,The Hobbit: The Desolation of Smaug,$ 225000000,$,225000000
2611,Baggage Claim,$ 8500000,$,8500000
2612,Demolition,$ 10000000,$,10000000
2613,Whip It,$ 15000000,$,15000000
2614,Bronson,$ 230000,$,230000
2615,An Education,$ 7500000,$,7500000
2616,W.,$ 25100000,$,25100000
2617,Me and Orson Welles,$ 25000000,$,25000000
2618,Whatever Works,$ 15000000,$,15000000
2619,A Walk in the Woods,$ 8000000,$,8000000
2620,From Paris with Love,$ 52000000,$,52000000
2621,A Nightmare on Elm Street,$ 35000000,$,35000000
2622,Chéri,$ 23000000,$,23000000
2623,My Bloody Valentine,$ 15000000,$,15000000
2624,Paranormal Activity,$ 15000,$,15000
2625,10 Cloverfield Lane,$ 15000000,$,15000000
2626,Wuthering Heights,GBP 5000000,GBP,6300000.0
2627,Moon,$ 5000000,$,5000000
2628,When in Rome,$ 55000000,$,55000000
2629,Star Wars: The Clone Wars,$ 8500000,$,8500000
2630,Ninja Assassin,$ 40000000,$,40000000
2631,Agora,$ 70000000,$,70000000
2632,3 Idiots,INR 550000000,INR,7150000.0
2633,Pandorum,$ 33000000,$,33000000
2634,My Name Is Khan,$ 12000000,$,12000000
2635,La piel que habito,EUR 10000000,EUR,11000000.0
2636,The Lincoln Lawyer,$ 40000000,$,40000000
2637,2012,$ 200000000,$,200000000
2638,Black Dynamite,$ 2900000,$,2900000
2639,Enter the Void,$ 16000000,$,16000000
2640,Rango,$ 135000000,$,135000000
2641,Up in the Air,$ 25000000,$,25000000
2642,Step Up 3D,$ 30000000,$,30000000
2643,The Bourne Legacy,$ 125000000,$,125000000
2644,Get Low,$ 7000000,$,7000000
2645,The Five-Year Engagement,$ 30000000,$,30000000
2646,Diary of a Wimpy Kid,$ 15000000,$,15000000
2647,Law Abiding Citizen,$ 50000000,$,50000000
2648,Observe and Report,$ 18000000,$,18000000
2649,Funny People,$ 75000000,$,75000000
2650,Harry Potter and the Deathly Hallows: Part 2,$ 125000000,$,125000000
2651,The Muppets,$ 45000000,$,45000000
2652,Last Vegas,$ 28000000,$,28000000
2653,Ouija,$ 5000000,$,5000000
2654,Gran Torino,$ 33000000,$,33000000
2655,Jack Ryan: Shadow Recruit,$ 60000000,$,60000000
2656,Out of the Furnace,$ 22000000,$,22000000
2657,Rambo: Last Blood,$ 50000000,$,50000000
2658,Brooklyn's Finest,$ 17000000,$,17000000
2659,Moneyball,$ 50000000,$,50000000
2660,The Lone Ranger,$ 215000000,$,215000000
2661,Doctor Strange,$ 165000000,$,165000000
2662,Escape Plan,$ 50000000,$,50000000
2663,Hereafter,$ 50000000,$,50000000
2664,The Lost City of Z,$ 30000000,$,30000000
2665,The Back-up Plan,$ 35000000,$,35000000
2666,Lawless,$ 26000000,$,26000000
2667,Alpha and Omega,$ 20000000,$,20000000
2668,First Man,$ 59000000,$,59000000
2669,Disaster Movie,$ 20000000,$,20000000
2670,London Boulevard,$ 25000000,$,25000000
2671,The World's End,$ 20000000,$,20000000
2672,Seeking Justice,$ 17000000,$,17000000
2673,Cars 2,$ 200000000,$,200000000
2674,Flickan som lekte med elden,EUR 4000000,EUR,4400000.0
2675,Leap Year,$ 19000000,$,19000000
2676,Madeo,$ 5000000,$,5000000
2677,Brave,$ 185000000,$,185000000
2678,Battle Los Angeles,$ 70000000,$,70000000
2679,Limitless,$ 27000000,$,27000000
2680,Legend of the Guardians: The Owls of Ga'Hoole,$ 80000000,$,80000000
2681,Ghost in the Shell,$ 110000000,$,110000000
2682,The Fourth Kind,$ 10000000,$,10000000
2683,Grace,$ 5000000,$,5000000
2684,Resident Evil: Afterlife,$ 60000000,$,60000000
2685,Henry's Crime,$ 12000000,$,12000000
2686,Zookeeper,$ 80000000,$,80000000
2687,Get Him to the Greek,$ 40000000,$,40000000
2688,Io sono l'amore,EUR 3600000,EUR,3960000.0000000005
2689,Edge of Darkness,$ 80000000,$,80000000
2690,The Debt,$ 20000000,$,20000000
2691,In the Loop,GBP 612650,GBP,771939.0
2692,Beautiful Boy,$ 25000000,$,25000000
2693,Iron Man 2,$ 200000000,$,200000000
