,title,year,country,language,duration,genre,director,production_company,description,budget,usa_gross_income,worlwide_gross_income,IMDB_rating,metascore,reviews_from_users,votes,reviews_from_critics,female_avg_rating,male_avg_rating,female_votes,male_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval,genre_1,genre_2,genre_3,country_1,country_2,country_3,budget_USD,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3
1233,Erin Brockovich,2000,USA,English,131,"Biography, Drama",Steven Soderbergh,Universal Pictures,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,$ 52000000,$ 125595205,$ 256271286,7.3,73.0,511.0,162320,170.0,7.5,7.2,40538.0,86857.0,8.0,37.0,7.5,23698.0,7.2,74051.0,7.4,26479.0,129866,28953,3501,0.8,1,Biography, Drama,,USA,,,52000000.0,Julia Roberts,A,David Brisbin,D,Dawn Didawick,D
1232,The Little Vampire,2000,"Germany, Netherlands, USA",English,95,"Adventure, Comedy, Family",Uli Edel,Avrora Media,"A lonely American boy living in Scotland makes a new best friend, a fellow nine year-old who happens to be a vampire.",$ 35000000,$ 13572400,$ 27965865,5.7,45.0,40.0,9030,38.0,6.5,5.3,2987.0,4185.0,6.7,3.0,6.0,3524.0,5.2,2392.0,5.6,1007.0,3730,4315,985,0.41,0,Adventure, Comedy, Family,Germany, Netherlands, USA,35000000.0,Jonathan Lipnicki,D,Richard E. Grant,D,Jim Carter,D
1345,Werckmeister harmóniák,2000,"Hungary, Italy, Germany, France","Hungarian, Slovak",145,"Drama, Mystery","Béla Tarr, Ágnes Hranitzky",13 Productions,"An innocent young man witnesses violence break out after an isolated village is inflamed by the arrival of a circus and its peculiar attractions: a giant whale and a mysterious man named ""The Prince.""",FRF 10000000,$ 25461,$ 25461,8.2,92.0,58.0,11529,60.0,8.3,8.2,1180.0,8395.0,8.2,9.0,8.6,2707.0,8.0,5178.0,7.7,1548.0,9832,1223,474,0.85,1,Drama, Mystery,,Hungary, Italy, Germany,1700000.0000000002,Lars Rudolph,D,Peter Fitz,D,Hanna Schygulla,D
1260,Memento,2000,USA,English,113,"Mystery, Thriller",Christopher Nolan,Newmarket Capital Group,A man with short-term memory loss attempts to track down his wife's murderer.,$ 9000000,$ 25544867,$ 39723096,8.4,80.0,2166.0,1052890,203.0,8.2,8.5,130104.0,678777.0,8.7,652.0,8.5,262242.0,8.4,422330.0,8.1,87643.0,967527,66708,18655,0.92,1,Mystery, Thriller,,USA,,,9000000.0,Guy Pearce,B,Carrie-Anne Moss,D,Joe Pantoliano,D
1278,The 6th Day,2000,"USA, Canada",English,123,"Action, Mystery, Sci-Fi",Roger Spottiswoode,Phoenix Pictures,Futuristic action film about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,$ 82000000,$ 34604280,$ 96085477,5.9,49.0,295.0,112153,155.0,5.8,5.9,6939.0,84531.0,5.3,17.0,6.1,13939.0,5.8,59360.0,6.0,15932.0,39066,66603,6484,0.35,0,Action, Mystery, Sci-Fi,USA, Canada,,82000000.0,Arnold Schwarzenegger,A,Michael Rapaport,D,Tony Goldwyn,D
1225,The Whole Nine Yards,2000,USA,"English, French, Spanish",98,"Comedy, Crime",Jonathan Lynn,Franchise Pictures,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",$ 41300000,$ 57262492,$ 106371651,6.7,47.0,317.0,104753,51.0,6.8,6.7,12516.0,70869.0,5.4,16.0,6.8,13887.0,6.7,53493.0,6.7,14185.0,66104,35561,3088,0.63,1,Comedy, Crime,,USA,,,41300000.0,Bruce Willis,A,Matthew Perry,D,Rosanna Arquette,D
1265,102 Dalmatians,2000,"USA, UK",English,100,"Adventure, Comedy, Family",Kevin Lima,Cruella Productions,Cruella DeVil gets out of prison and goes after the puppies once more.,$ 85000000,$ 66957026,$ 183611771,4.9,35.0,80.0,32615,86.0,5.5,4.6,8762.0,17553.0,4.8,24.0,5.0,12487.0,4.6,10159.0,4.9,2957.0,6593,19805,6217,0.2,0,Adventure, Comedy, Family,USA, UK,,85000000.0,Glenn Close,B,Gérard Depardieu,D,Ioan Gruffudd,C
1317,Chocolat,2000,"UK, USA","English, French",121,"Drama, Romance",Lasse Hallström,Miramax,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,$ 25000000,$ 71509363,$ 152699946,7.2,64.0,514.0,170505,153.0,7.5,7.1,56104.0,81439.0,7.6,42.0,7.3,34792.0,7.2,75431.0,7.3,24321.0,133540,33532,3433,0.78,1,Drama, Romance,,UK, USA,,25000000.0,Alfred Molina,D,Carrie-Anne Moss,D,Aurelien Parent Koenig,D
1276,Road Trip,2000,USA,English,93,"Adventure, Comedy",Todd Phillips,DreamWorks,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,$ 16000000,$ 68540777,$ 119754278,6.4,55.0,309.0,150786,105.0,6.0,6.5,13799.0,109991.0,6.7,20.0,6.5,31974.0,6.5,78209.0,6.2,10774.0,82926,60576,7284,0.55,0,Adventure, Comedy,,USA,,,16000000.0,Breckin Meyer,D,Seann William Scott,B,Amy Smart,D
1227,"O Brother, Where Art Thou?",2000,"UK, France, USA",English,107,"Adventure, Comedy, Crime","Joel Coen, Ethan Coen",Touchstone Pictures,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",$ 26000000,$ 45512588,$ 71868327,7.7,69.0,892.0,269410,98.0,7.7,7.7,30922.0,180568.0,7.8,94.0,7.7,50187.0,7.7,117248.0,7.8,38583.0,230847,33151,5412,0.86,1,Adventure, Comedy, Crime,UK, France, USA,26000000.0,George Clooney,A,John Turturro,D,Tim Blake Nelson,D
1334,Amores perros,2000,Mexico,Spanish,154,"Drama, Thriller",Alejandro G. Iñárritu,Altavista Films,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",$ 2000000,$ 5408467,$ 20908467,8.1,83.0,384.0,210609,165.0,8.1,8.1,30580.0,138415.0,8.0,46.0,8.1,37380.0,8.1,105494.0,8.0,21632.0,189336,16170,5103,0.9,1,Drama, Thriller,,Mexico,,,2000000.0,Emilio Echevarría,D,Gael García Bernal,D,Goya Toledo,D
1258,Snatch,2000,"UK, USA","English, Russian",104,"Comedy, Crime",Guy Ritchie,Columbia Pictures,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",GBP 6000000,$ 30328156,$ 83557872,8.3,55.0,785.0,734539,166.0,8.1,8.3,71521.0,506647.0,8.4,306.0,8.3,171833.0,8.3,323723.0,8.0,57899.0,674993,49177,10369,0.92,1,Comedy, Crime,,UK, USA,,7560000.0,Benicio Del Toro,D,Dennis Farina,D,Vinnie Jones,D
1259,Get Carter,2000,USA,English,102,"Action, Crime, Drama",Stephen Kay,Morgan Creek Entertainment,A Las Vegas mob enforcer travels back to his hometown to investigate his brother's mysterious death.,$ 63600000,$ 14967182,$ 19412993,5.2,24.0,287.0,31226,105.0,5.2,5.2,1405.0,23394.0,5.0,2.0,5.4,2246.0,5.1,15923.0,5.1,6062.0,7280,18565,5381,0.23,0,Action, Crime, Drama,USA,,,63600000.0,Sylvester Stallone,A,Miranda Richardson,D,Rachael Leigh Cook,D
1275,Rugrats in Paris: The Movie - Rugrats II,2000,"Germany, USA","English, French",78,"Animation, Adventure, Comedy","Stig Bergqvist, Paul Demeyer",Paramount Pictures,"The Rugrats travel to Paris, France, where Chuckie hopes to find a new mother and keep his father from marrying an evil business woman.",$ 30000000,$ 76507756,$ 103291131,6.1,62.0,53.0,10362,35.0,6.4,5.9,2275.0,5762.0,6.1,11.0,6.3,4417.0,5.7,2501.0,5.7,847.0,4584,4952,826,0.44,0,Animation, Adventure, Comedy,Germany, USA,,30000000.0,Elizabeth Daily,D,Tara Strong,D,Cheryl Chase,D
1251,Bring It On,2000,USA,English,98,"Comedy, Romance, Sport",Peyton Reed,Beacon Communications,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,$ 11000000,$ 68379000,$ 90449929,6.0,52.0,384.0,82574,121.0,6.4,5.7,26677.0,38139.0,6.0,28.0,6.0,18095.0,5.8,36865.0,6.1,8131.0,37077,38267,7230,0.45,0,Comedy, Romance, Sport,USA,,,11000000.0,Kirsten Dunst,C,Eliza Dushku,D,Jesse Bradford,D
1230,28 Days,2000,USA,English,103,"Comedy, Drama",Betty Thomas,Columbia Pictures,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,$ 43000000,$ 37170488,$ 62198945,6.0,46.0,203.0,41621,118.0,6.4,5.8,13296.0,18921.0,5.8,7.0,6.3,4493.0,5.9,19092.0,6.1,7901.0,17563,21499,2559,0.42,0,Comedy, Drama,,USA,,,43000000.0,Sandra Bullock,A,Viggo Mortensen,A,Dominic West,D
1320,"Dude, Where's My Car?",2000,USA,"English, Japanese, French",83,"Comedy, Mystery, Sci-Fi",Danny Leiner,Twentieth Century Fox,Two potheads wake up after a night of partying and cannot remember where they parked their car.,$ 13000000,$ 46729800,$ 73180723,5.5,30.0,467.0,130071,65.0,5.3,5.6,16314.0,90842.0,5.6,26.0,5.8,31825.0,5.4,63510.0,5.2,9497.0,44935,64281,20855,0.35,0,Comedy, Mystery, Sci-Fi,USA,,,13000000.0,Ashton Kutcher,B,Seann William Scott,B,Jennifer Garner,C
1249,Boys and Girls,2000,USA,English,94,"Comedy, Drama, Romance",Robert Iscove,Punch 21 Productions,A friendship is put to the ultimate test when two best friends wind up in bed together.,$ 35000000,$ 21799652,$ 25850615,5.4,29.0,131.0,15370,67.0,5.5,5.4,3951.0,8061.0,7.5,2.0,5.7,2140.0,5.3,7954.0,5.4,1666.0,4754,8130,2486,0.31,0,Comedy, Drama, Romance,USA,,,35000000.0,Brendon Ryan Barrett,D,Gay Thomas Wilson,D,Raquel Beaudene,D
1229,Vertical Limit,2000,"USA, Germany","English, Urdu",124,"Action, Adventure, Drama",Martin Campbell,Columbia Pictures,"A climber must rescue his sister on top of K2, one of the world's biggest mountains.",$ 75000000,$ 69243859,$ 215663859,5.9,48.0,386.0,56033,133.0,6.2,5.9,5480.0,38881.0,5.7,6.0,6.1,5988.0,5.9,28605.0,6.0,8938.0,20919,29816,5298,0.37,0,Action, Adventure, Drama,USA, Germany,,75000000.0,Chris O'Donnell,D,Robin Tunney,D,Stuart Wilson,D
999,Mission: Impossible II,2000,"USA, Germany",English,123,"Action, Adventure, Thriller",John Woo,Paramount Pictures,"I.M.F. Agent Ethan Hunt (Tom Cruise) is sent to Sydney, Australia to find and destroy a genetically modified disease called ""Chimera"".",$ 125000000,$ 215409889,$ 546388105,6.1,59.0,1468.0,296585,264.0,6.2,6.1,24661.0,205231.0,5.9,227.0,6.2,58177.0,6.0,129444.0,6.1,33470.0,122663,150915,23007,0.41,0,Action, Adventure, Thriller,USA, Germany,,125000000.0,Tom Cruise,A,Dougray Scott,D,Thandie Newton,D
1149,The Beach,2000,"USA, UK","English, French, Swedish, Thai, Serbian",119,"Adventure, Drama, Romance",Danny Boyle,Figment Films,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",$ 50000000,$ 39785027,$ 144056873,6.7,43.0,576.0,212132,109.0,6.6,6.7,36064.0,134926.0,6.6,51.0,6.8,42567.0,6.6,104658.0,6.3,18324.0,127484,75749,8899,0.6,1,Adventure, Drama, Romance,USA, UK,,50000000.0,Leonardo DiCaprio,A,Daniel York,D,Patcharawan Patarakijjanon,D
1195,Quills,2000,"UK, Germany, USA","English, Latin",124,"Biography, Drama",Philip Kaufman,Fox Searchlight Pictures,"In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor.",$ 13500000,$ 7065332,$ 17989227,7.3,70.0,312.0,49646,134.0,7.5,7.2,12764.0,26866.0,7.7,3.0,7.5,5404.0,7.3,24715.0,7.0,8975.0,38915,9325,1406,0.78,1,Biography, Drama,,UK, Germany, USA,13500000.0,Geoffrey Rush,A,Kate Winslet,A,Joaquin Phoenix,B
1157,Romeo Must Die,2000,USA,"English, Chinese",115,"Action, Crime, Thriller",Andrzej Bartkowiak,Warner Bros.,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,$ 25000000,$ 55973336,$ 91036760,6.1,52.0,366.0,64061,71.0,6.2,6.1,5189.0,46230.0,6.6,9.0,6.3,7842.0,6.1,35509.0,6.1,6926.0,27546,32584,3931,0.43,0,Action, Crime, Thriller,USA,,,25000000.0,Jet Li,B,Aaliyah,D,Isaiah Washington,D
1028,Titan A.E.,2000,USA,"English, Mandarin",94,"Animation, Action, Adventure","Don Bluth, Gary Goldman",David Kirschner Productions,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,$ 75000000,$ 22753426,$ 36754634,6.6,48.0,393.0,56950,134.0,6.8,6.6,5586.0,39987.0,6.5,5.0,6.8,8444.0,6.6,28404.0,6.4,7943.0,34117,20459,2374,0.6,1,Animation, Action, Adventure,USA,,,75000000.0,Drew Barrymore,B,Jim Breuer,D,Ken Hudson Campbell,D
1072,Pitch Black,2000,"USA, Australia","English, Arabic",109,"Horror, Sci-Fi",David Twohy,Polygram Filmed Entertainment,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",$ 23000000,$ 39240659,$ 53187659,7.1,49.0,811.0,216778,126.0,7.2,7.1,19942.0,157863.0,6.9,35.0,7.1,35386.0,7.1,109215.0,7.2,28079.0,160534,50397,5847,0.74,1,Horror, Sci-Fi,,USA, Australia,,23000000.0,Vin Diesel,A,Radha Mitchell,D,Cole Hauser,D
1030,The Emperor's New Groove,2000,USA,English,78,"Animation, Adventure, Comedy",Mark Dindal,Walt Disney Feature Animation,"Emperor Kuzco (David Spade) is turned into a llama by his ex-administrator Yzma (Eartha Kitt), and must now regain his throne with the help of Pacha (John Goodman), the gentle llama herder.",$ 100000000,$ 89302687,$ 169327687,7.3,70.0,312.0,165955,151.0,7.6,7.2,38911.0,89838.0,7.3,225.0,7.4,59711.0,7.2,53496.0,7.0,10155.0,129791,32977,3187,0.78,1,Animation, Adventure, Comedy,USA,,,100000000.0,David Spade,B,John Goodman,A,Eartha Kitt,D
1142,Shaft,2000,"Germany, USA","English, German, Spanish",99,"Action, Crime, Thriller",John Singleton,Paramount Pictures,New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,$ 46000000,$ 70334258,$ 107626125,5.9,50.0,308.0,70328,144.0,5.9,5.9,4399.0,49979.0,5.5,13.0,6.1,6940.0,5.9,35414.0,5.9,10600.0,26175,39354,4799,0.37,0,Action, Crime, Thriller,Germany, USA,,46000000.0,Samuel L. Jackson,A,Vanessa Williams,D,Jeffrey Wright,D
1140,Cast Away,2000,USA,"English, Russian",143,"Adventure, Drama, Romance",Robert Zemeckis,Twentieth Century Fox,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,$ 90000000,$ 233632142,$ 429632142,7.8,73.0,1119.0,483947,227.0,7.7,7.8,64894.0,317340.0,8.0,316.0,8.0,120546.0,7.7,201102.0,7.5,45301.0,424854,53140,5953,0.88,1,Adventure, Drama, Romance,USA,,,90000000.0,Paul Sanchez,D,Lari White,D,Leonid Citer,D
1138,What Lies Beneath,2000,USA,English,130,"Drama, Fantasy, Horror",Robert Zemeckis,DreamWorks,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,$ 100000000,$ 155464351,$ 291420351,6.6,51.0,685.0,112097,197.0,6.8,6.5,21032.0,67116.0,6.7,15.0,6.6,10927.0,6.5,56692.0,6.6,18777.0,65292,42330,4475,0.58,0,Drama, Fantasy, Horror,USA,,,100000000.0,Michelle Pfeiffer,A,Katharine Towne,D,Miranda Otto,D
1135,Charlie's Angels,2000,"USA, Germany","English, German, Finnish, Japanese, Cantonese",98,"Action, Adventure, Comedy",McG,Columbia Pictures,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",$ 93000000,$ 125305545,$ 264105545,5.5,52.0,640.0,166753,192.0,6.0,5.4,30107.0,102203.0,5.5,64.0,5.7,33540.0,5.4,75404.0,5.6,20392.0,51856,94325,20572,0.31,0,Action, Adventure, Comedy,USA, Germany,,93000000.0,Cameron Diaz,A,Drew Barrymore,B,Lucy Liu,D
975,Chicken Run,2000,"UK, USA, France",English,84,"Animation, Adventure, Comedy","Peter Lord, Nick Park",Aardman Animations,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",$ 45000000,$ 106834564,$ 224834564,7.0,88.0,379.0,167368,191.0,6.9,7.0,27359.0,101350.0,7.1,163.0,7.1,45706.0,6.9,59028.0,7.1,19979.0,120084,42442,4842,0.72,1,Animation, Adventure, Comedy,UK, USA, France,45000000.0,Phil Daniels,D,Lynn Ferguson,D,Mel Gibson,A
1385,George Washington,2000,USA,English,89,Drama,David Gordon Green,Free Country U.S.A.,"A group of children, in a depressed small town, band together to cover up a tragic mistake one summer.",$ 42000,$ 247406,$ 283846,7.4,82.0,72.0,7334,67.0,7.3,7.3,604.0,5246.0,6.9,5.0,7.8,1187.0,7.3,3416.0,6.8,1192.0,5536,1413,385,0.75,1,Drama,,,USA,,,42000.0,Candace Evanofski,D,Donald Holden,D,Damian Jewan Lee,D
1128,The Flintstones in Viva Rock Vegas,2000,USA,English,90,"Comedy, Family, Romance",Brian Levant,Universal Pictures,"In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople (Kristen Johnston) is pursued by playboy Chip Rockefeller (Thomas Gibson).",$ 83000000,$ 35268275,$ 59468275,3.6,27.0,90.0,19984,61.0,4.2,3.5,3434.0,12438.0,2.9,11.0,3.9,5107.0,3.4,7807.0,3.6,2463.0,2589,8027,9368,0.13,0,Comedy, Family, Romance,USA,,,83000000.0,Mark Addy,D,Stephen Baldwin,D,Kristen Johnston,D
1059,Dinosaur,2000,USA,English,82,"Animation, Adventure, Family","Eric Leighton, Ralph Zondag",Walt Disney Pictures,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,$ 127500000,$ 137748063,$ 349822765,6.5,56.0,252.0,49058,149.0,6.8,6.4,7891.0,29978.0,6.2,73.0,6.6,16548.0,6.2,14983.0,6.5,5047.0,26233,20534,2291,0.53,0,Animation, Adventure, Family,USA,,,127500000.0,Alfre Woodard,B,Ossie Davis,D,Max Casella,D
1109,High Fidelity,2000,"UK, USA","English, Danish",113,"Comedy, Drama, Music",Stephen Frears,Touchstone Pictures,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",$ 30000000,$ 27287137,$ 47126295,7.5,79.0,615.0,160376,174.0,7.3,7.5,25516.0,101773.0,7.9,21.0,7.4,21987.0,7.5,78788.0,7.4,24404.0,132055,24970,3351,0.82,1,Comedy, Drama, Music,UK, USA,,30000000.0,John Cusack,A,Iben Hjejle,D,Todd Louiso,D
1196,Requiem for a Dream,2000,USA,English,102,Drama,Darren Aronofsky,Artisan Entertainment,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,$ 4500000,$ 3635482,$ 7390108,8.3,68.0,2040.0,716712,245.0,8.3,8.3,114844.0,447039.0,8.8,376.0,8.4,189160.0,8.3,305524.0,7.9,45244.0,637138,59675,19899,0.89,1,Drama,,,USA,,,4500000.0,Ellen Burstyn,D,Jared Leto,C,Jennifer Connelly,C
1105,Thirteen Days,2000,USA,"English, Russian, Spanish, Romanian",145,"Drama, History, Thriller",Roger Donaldson,New Line Cinema,"In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.",$ 80000000,$ 34592089,$ 66579890,7.3,67.0,331.0,51502,169.0,7.1,7.3,3354.0,36424.0,7.3,8.0,7.2,4232.0,7.2,23073.0,7.3,11697.0,41134,9387,981,0.8,1,Drama, History, Thriller,USA,,,80000000.0,Shawn Driscoll,D,Kevin Costner,A,Drake Cook,D
1100,Highlander: Endgame,2000,"UK, USA, Luxembourg","English, French, Scottish Gaelic",87,"Action, Adventure, Fantasy",Douglas Aarniokoski,Davis-Panzer Productions,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",$ 25000000,$ 12811858,$ 15843608,4.6,21.0,355.0,18616,98.0,5.1,4.6,1370.0,13160.0,4.0,2.0,4.6,1020.0,4.6,9601.0,4.6,3588.0,4305,9226,5085,0.23,0,Action, Adventure, Fantasy,UK, USA, Luxembourg,25000000.0,Adrian Paul,D,Christopher Lambert,D,Bruce Payne,D
1098,Nutty Professor II: The Klumps,2000,USA,English,106,"Comedy, Romance, Sci-Fi",Peter Segal,Universal Pictures,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",$ 84000000,$ 123309890,$ 166339890,4.4,38.0,180.0,46298,96.0,4.3,4.3,4865.0,31601.0,4.0,21.0,4.5,8339.0,4.3,22111.0,4.3,5102.0,7412,25383,13503,0.16,0,Comedy, Romance, Sci-Fi,USA,,,84000000.0,Eddie Murphy,A,Janet Jackson,D,Larry Miller,D
1094,American Psycho,2000,"USA, Canada","English, Spanish, Cantonese",101,"Crime, Drama",Mary Harron,Am Psycho Productions,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",$ 7000000,$ 15070285,$ 34266564,7.6,64.0,1208.0,445091,297.0,7.5,7.6,61706.0,291611.0,8.2,328.0,7.7,125350.0,7.6,184422.0,7.2,30871.0,368323,66478,10290,0.83,1,Crime, Drama,,USA, Canada,,7000000.0,Christian Bale,A,Justin Theroux,D,Josh Lucas,D
1070,Scream 3,2000,USA,English,116,"Horror, Mystery",Wes Craven,Dimension Films,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",$ 40000000,$ 89143175,$ 161834276,5.5,56.0,751.0,117165,221.0,5.7,5.5,16453.0,75467.0,5.9,80.0,5.8,23253.0,5.4,55857.0,5.6,10222.0,36174,68493,12498,0.31,0,Horror, Mystery,,USA,,,40000000.0,Liev Schreiber,D,Beth Toussaint,D,Roger Jackson,D
1080,The Road to El Dorado,2000,USA,English,89,"Animation, Adventure, Comedy","Bibo Bergeron, Don Paul",DreamWorks Animation,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",$ 95000000,$ 50863742,$ 76432727,6.9,51.0,148.0,77350,86.0,7.2,6.8,19164.0,41800.0,6.9,79.0,7.1,31414.0,6.7,22661.0,6.4,4401.0,52303,23310,1737,0.68,1,Animation, Adventure, Comedy,USA,,,95000000.0,Kevin Kline,A,Kenneth Branagh,B,Rosie Perez,D
1124,My Dog Skip,2000,USA,"English, German",95,"Comedy, Drama, Family",Jay Russell,Alcon Entertainment,"A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip.",$ 6000000,$ 34134641,$ 35547761,7.0,61.0,148.0,18571,86.0,7.2,6.9,4160.0,10547.0,7.9,11.0,7.1,3791.0,6.8,6662.0,7.2,3941.0,13387,4598,586,0.72,1,Comedy, Drama, Family,USA,,,6000000.0,Luke Wilson,D,Frankie Muniz,D,Kevin Bacon,D
1024,X-Men,2000,USA,English,104,"Action, Adventure, Sci-Fi",Bryan Singer,Twentieth Century Fox,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",$ 75000000,$ 157299718,$ 296339528,7.4,64.0,1430.0,546110,304.0,7.6,7.3,69291.0,352332.0,7.3,542.0,7.4,136630.0,7.4,217670.0,7.4,47302.0,449720,89363,7027,0.82,1,Action, Adventure, Sci-Fi,USA,,,75000000.0,Hugh Jackman,A,Patrick Stewart,A,Ian McKellen,A
1151,Hollow Man,2000,"USA, Germany",English,112,"Action, Horror, Sci-Fi",Paul Verhoeven,Columbia Pictures,"When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",$ 95000000,$ 73209340,$ 190213455,5.8,24.0,642.0,116795,192.0,5.7,5.8,10913.0,82826.0,5.1,21.0,5.9,15391.0,5.7,60168.0,5.8,16324.0,35670,70235,10890,0.31,0,Action, Horror, Sci-Fi,USA, Germany,,95000000.0,Elisabeth Shue,D,Kevin Bacon,D,Josh Brolin,A
1185,Gladiator,2000,"USA, UK, Malta, Morocco",English,155,"Action, Adventure, Drama",Ridley Scott,DreamWorks,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,$ 103000000,$ 187705427,$ 460583960,8.5,67.0,2538.0,1246752,249.0,8.3,8.6,140876.0,801869.0,8.4,806.0,8.6,293530.0,8.5,482789.0,8.3,112995.0,1153822,76778,16152,0.93,1,Action, Adventure, Drama,USA, UK, Malta,103000000.0,Russell Crowe,A,Joaquin Phoenix,B,Connie Nielsen,D
1382,Digimon: The Movie,2000,"USA, Japan",English,82,"Animation, Action, Adventure","Mamoru Hosoda, Shigeyasu Yamauchi",Saban Entertainment,Three different stories involving digital creatures collide together.,$ 5000000,$ 9631153,$ 16643191,6.1,20.0,68.0,6409,29.0,6.4,5.9,778.0,4250.0,7.0,4.0,6.2,2900.0,5.4,1665.0,4.5,268.0,3176,2281,952,0.5,0,Animation, Action, Adventure,USA, Japan,,5000000.0,Lara Jill Miller,D,Joshua Seth,D,Bob Papenbrook,D
1193,The Perfect Storm,2000,USA,English,130,"Action, Adventure, Drama",Wolfgang Petersen,Warner Bros.,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,$ 140000000,$ 182618434,$ 328718434,6.4,59.0,782.0,149125,235.0,6.4,6.4,16455.0,101812.0,7.3,19.0,6.6,18958.0,6.3,70976.0,6.5,25562.0,76171,65099,7855,0.51,0,Action, Adventure, Drama,USA,,,140000000.0,George Clooney,A,Mark Wahlberg,A,John C. Reilly,B
1190,Scary Movie,2000,USA,English,88,Comedy,Keenen Ivory Wayans,Dimension Films,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",$ 19000000,$ 157019771,$ 278019771,6.2,48.0,903.0,219526,104.0,5.9,6.3,27047.0,148398.0,6.1,170.0,6.3,60595.0,6.2,95014.0,5.8,14885.0,103711,95356,20459,0.47,0,Comedy,,,USA,,,19000000.0,Carmen Electra,D,Dave Sheridan,D,Frank B. Moore,D
1172,Dancer in the Dark,2000,"Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium","English, German, Czech",140,"Crime, Drama, Musical",Lars von Trier,Zentropa Entertainments,"An east European girl goes to America with her young son, expecting it to be like a Hollywood film.",$ 12800000,$ 4184036,$ 40031879,8.0,61.0,704.0,95580,130.0,8.1,7.9,18293.0,56936.0,8.2,39.0,8.2,16447.0,8.0,44899.0,7.5,12491.0,80836,10317,4427,0.85,1,Crime, Drama, Musical,Denmark, Germany, Netherlands,12800000.0,Björk,D,Catherine Deneuve,D,David Morse,D
